instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
224,434,1192,509,406.0,342.0,0.8423645320197044,False,0.42701342281879195,2,2.3456220626831055,5
225,147,409,172,136.0,121.0,0.8897058823529411,False,0.42053789731051344,2,2.3401360511779785,4
226,80,218,97,71.0,63.0,0.8873239436619719,False,0.44495412844036697,2,2.424999952316284,4
227,491,1355,567,457.0,402.0,0.8796498905908097,False,0.418450184501845,2,2.309572219848633,4
228,516,1418,615,480.0,413.0,0.8604166666666667,False,0.43370944992947813,2,2.383720874786377,5
229,11,30,12,11.0,10.0,0.9090909090909091,False,0.4,2,2.1818182468414307,3
230,190,533,222,174.0,152.0,0.8735632183908046,False,0.4165103189493433,2,2.3368420600891113,4
231,80,228,97,73.0,64.0,0.8767123287671232,False,0.42543859649122806,2,2.424999952316284,5
232,259,724,304,234.0,200.0,0.8547008547008547,False,0.4198895027624309,2,2.3474903106689453,5
233,376,1035,448,348.0,303.0,0.8706896551724138,False,0.43285024154589374,2,2.382978677749634,4
234,31,87,37,29.0,27.0,0.9310344827586207,False,0.42528735632183906,2,2.387096881866455,4
235,378,1056,438,349.0,298.0,0.8538681948424068,False,0.4147727272727273,2,2.317460298538208,5
236,58,159,66,54.0,49.0,0.9074074074074074,False,0.41509433962264153,2,2.275861978530884,5
237,78,216,92,73.0,62.0,0.8493150684931506,False,0.42592592592592593,2,2.3589744567871094,4
238,257,712,296,238.0,212.0,0.8907563025210085,False,0.4157303370786517,2,2.303501844406128,4
239,38,109,44,36.0,29.0,0.8055555555555556,False,0.4036697247706422,2,2.3157894611358643,4
240,503,1379,584,459.0,413.0,0.8997821350762527,False,0.4234952864394489,2,2.3220674991607666,4
241,94,255,111,86.0,76.0,0.8837209302325582,False,0.43529411764705883,2,2.3617022037506104,4
242,146,402,173,133.0,118.0,0.8872180451127819,False,0.43034825870646765,2,2.3698630332946777,5
243,291,805,346,265.0,232.0,0.8754716981132076,False,0.4298136645962733,2,2.378006935119629,5
244,85,235,99,79.0,72.0,0.9113924050632911,False,0.42127659574468085,2,2.329411745071411,4
245,325,902,390,295.0,256.0,0.8677966101694915,False,0.43237250554323725,2,2.4000000953674316,4
246,269,754,314,243.0,212.0,0.8724279835390947,False,0.41644562334217505,2,2.3345725536346436,4
247,179,493,212,167.0,142.0,0.8502994011976048,False,0.4300202839756592,2,2.3687150478363037,4
248,315,861,376,290.0,253.0,0.8724137931034482,False,0.4367015098722416,2,2.3873016834259033,4
249,16,44,20,14.0,12.0,0.8571428571428571,False,0.45454545454545453,2,2.5,3
250,300,823,358,269.0,238.0,0.8847583643122676,False,0.4349939246658566,2,2.386666774749756,4
251,464,1277,550,424.0,369.0,0.8702830188679245,False,0.4306969459671104,2,2.370689630508423,5
252,201,555,234,186.0,158.0,0.8494623655913979,False,0.42162162162162165,2,2.3283581733703613,4
253,72,199,85,67.0,58.0,0.8656716417910447,False,0.4271356783919598,2,2.3611111640930176,4
254,240,656,283,215.0,194.0,0.9023255813953488,False,0.43140243902439024,2,2.3583333492279053,5
